"X.2","X.1","X","sect_triris","district","morph","colour","colour_simplif","extleft_fing","medleft_fing","intleft_fing","backleft_fing","extright_fing","medright_fing","intright_fing","backright_fing","left_tot","right_tot","total","mutilation","age","weather","nbindiv_checked","nbindiv_mutil","abund_sect","area","area_km","greenspace_area","greenspace_dens","dovecote","noise_pollut","humpop_2015","nb_passers","bakeries","fabric_manuf","haircut","nb_closedmarkets","nb_openmarkets","nb_biomarkets","nb_foodmarkets","openmarkets","foodmarkets","hrs_closedmarkets","hrs_openmarkets","hrs_biomarkets","tot_openhours","airqual_pca1","recyclwaste","nonrecyclwaste","waste","humpop_dens","human_flow","openmarkets_dens","foodmarkets_dens","hrsarea_openmarkets","hrsarea_totopenhrs","bakeries_dens","fabricmanuf_dens","hairdres_dens","waste_dens","prop_mutil","ID"
21,21,21,4,2,1,"Bbr","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,21
22,22,22,4,2,4,"Bbr","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,22
23,23,23,4,2,2,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,23
24,24,24,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,24
25,25,25,4,2,3,"Bbr","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,25
26,26,26,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,26
27,27,27,4,2,2,"B","B",0,0,0,0,1,1,1,1,0,4,4,1,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,27
28,28,28,4,2,4,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,28
29,29,29,4,2,1,"B","B",0,0,0,0,0,1,0,1,0,2,2,1,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,29
30,30,30,4,2,0,"Bp","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,30
