"","Estimate","SE","z-value","P-value"
"(Intercept)",0.677584492872472,0.0545543135012142,12.4203651258006,2.02634566522114e-35
"humpop_dens",-0.0139614908039554,0.0402626112136765,-0.34676068896428,0.728771112415
"I(humpop_dens^2)",0.0797824495965011,0.0284401237223707,2.80527786641607,0.0050273219994303
"greenspace_dens",-0.0895188754552308,0.046267401898892,-1.93481526477013,0.0530129692202621
"airqual_pca1",0.0498181437194254,0.0266156378552399,1.87176215690873,0.0612395159431875
