"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.27185064587535,0.078986838556414,-16.1020578759709,2.46759168498344e-58
"noise_pollut",0.209240929134218,0.0748070952683774,2.79707330412371,0.00515678319346958
"airqual_pca1",0.11849276791588,0.0464563527397452,2.55062571484448,0.0107529735537348
