"","Dim.1","Dim.2","Dim.3"
"NO2",0.961050121566756,0.234115911746248,0.146875470054553
"O3",-0.760002283033002,0.649859408940105,0.00890384167885489
"PM10",0.948442047039071,0.283514959970386,-0.141693157496498
