"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.36844025741316,0.0946330127727361,-14.4604955217849,2.15242641529246e-47
"noise_pollut",0.188232682113434,0.0746366258602354,2.52198809825512,0.0116693656411116
"airqual_pca1",0.104897438958405,0.0447982027418087,2.34155462805002,0.0192036154062288
"hairdres_dens",-0.0710704251470512,0.106891751533802,-0.664882220819225,0.506125828225336
"I(hairdres_dens^2)",0.101216200676643,0.0536381555595223,1.88701866462063,0.0591578152648928
