"","Dim.1","Dim.2","Dim.3"
"1",-0.460788841594989,-0.91302419268054,-0.172153824488547
"2",0.656979236573041,-0.664677827779754,-0.0398490143891744
"3",0.876015261022242,-0.409522094065281,-0.0781468205825026
"4",0.509048580865761,-0.135869651382914,0.119084053425053
"5",-0.69648911274455,-0.163893394230812,0.0711849540708882
"6",-1.22950667855022,-0.379243210163211,-0.187061012735656
"7",-1.01470434248293,-0.204455640519237,-0.108081373541531
"8",-0.263488875116014,-0.753116706084492,0.00699111050367774
"9",-0.114229239143512,-1.35750882543763,0.220376158079865
"10",1.39563527654042,-0.387447013441228,0.144978408489457
"11",1.65847794311418,0.551640162151931,0.189717935099619
"12",0.839357028912055,1.49110442670792,0.14614850909498
"13",-0.772255066565944,0.858698188860143,-0.178430860536376
"14",-2.7862645010144,0.219275833039528,0.00433653626509432
"15",-3.25004766905818,0.349787545114453,-0.333497965146448
"16",-2.01341811485583,1.33798806372295,0.473717081399684
"17",0.237467053640673,-0.423620291731151,0.216924927570621
"18",1.48213990173573,-0.552261263387833,0.0898426147572763
"19",2.90418360996278,0.654183627341467,-0.222419850010679
"20",2.04188854875959,0.881962263965631,-0.363661567325311
