"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",2.40076312297052,80.0254374323505,80.0254374323505
"comp 2",0.55750824404777,18.5836081349257,98.6090455672762
"comp 3",0.0417286329817155,1.39095443272385,100
